,id,type_id,sub_type_id,fixture_id,player_id,related_player_id,period_id,participant_id,addition,minute,sort_order,Unnamed: 0
1530,117481832,10,,11886110,32185.0,,3402146,68,Goal Disallowed,35,1,1530
1605,88026758,10,,11886247,30590.0,,3402421,683,,72,1,1605
1606,88026761,10,,11886247,95844.0,,3402421,683,Goal Disallowed,84,1,1606
1634,88026555,10,,11886282,31344.0,,3402491,3321,,56,1,1634
1737,88026861,10,,11886226,32698.0,,3402378,2642,,34,1,1737
1747,88026769,10,,11886243,155470.0,,3402412,3317,Goal Disallowed,18,1,1747
1886,88026817,10,,11886238,25317.0,,3402402,510,Goal Disallowed,41,1,1886
1887,88026821,10,,11886238,4343.0,,3402403,510,,50,1,1887
1890,88026825,10,,11886238,84342.0,,3402403,2726,,59,1,1890
1896,88026758,10,,11886247,30590.0,,3402421,683,,72,1,1896
1897,88026761,10,,11886247,95844.0,,3402421,683,Goal Disallowed,84,1,1897
1901,88026594,10,,11886270,,,3402467,2726,Goal Disallowed,67,1,1901
1911,88026469,10,,11886295,4536574.0,,3402516,3320,,25,1,1911
1915,88026473,10,,11886295,3862700.0,,3402516,2726,Goal Disallowed,43,1,1915
1920,88026485,10,,11886295,24280.0,,3402517,3320,,76,1,1920
1933,88026292,10,,11886313,32122.0,,3402552,1092,Goal Disallowed,20,1,1933
1967,85959326,10,,11886112,31550.0,,3402151,3321,,72,1,1967
1996,85959209,10,,11886168,310131.0,,3402262,366,Goal Disallowed,39,1,1996
2026,88026938,10,,11886221,63034.0,,3402369,1092,Goal Disallowed,52,1,2026
2029,88026947,10,,11886221,31254.0,,3402369,366,,90,1,2029
2174,88026648,10,,11886268,96950.0,,3402463,794,,62,1,2174
2277,88027060,10,,11886203,31000.0,,3402333,503,Goal Disallowed,64,1,2277
2279,88026982,10,,11886209,31000.0,,3402344,503,Goal Disallowed,38,1,2279
2287,88026878,10,,11886227,31000.0,,3402381,503,,55,1,2287
2290,88026800,10,,11886242,32652.0,,3402411,3320,Goal Disallowed,47,1,2290
2302,88026627,10,,11886280,30286.0,,3402486,503,Goal Disallowed,19,1,2302
2313,88026320,10,,11886310,214996.0,,3402546,3321,,10,1,2313
7,85958933,10,,11895834,186552.0,,3417580,3477,,12,1,7
33,85958846,10,,11895889,312733.0,,3417691,528,,86,1,33
83,88025960,10,,11895991,809.0,,3417895,3477,,74,1,83
103,88008806,10,,12011960,188931.0,,3591225,3477,Goal Disallowed,65,1,103
106,88025765,10,,11896024,186095.0,,3417960,3477,,45,1,106
113,88007418,10,,12016293,,,3595458,6968,,45,1,113
122,88025625,10,,11896034,186552.0,,3417981,3477,,56,1,122
139,88025439,10,,11896055,185923.0,,3418023,13258,,64,1,139
146,88025309,10,,11896073,198762.0,,3418059,844,,69,1,146
165,85958933,10,,11895834,186552.0,,3417580,3477,,12,1,165
244,88025856,10,,11896003,4459.0,,3417918,676,Goal Disallowed,31,1,244
252,88025832,10,,11896014,159700.0,,3417940,3468,Goal Disallowed,13,1,252
261,88007450,10,,12016294,34053.0,,3595461,594,Goal Disallowed,49,1,261
264,88007461,10,,12016294,600687.0,,3595461,3468,Goal Disallowed,80,1,264
385,85958724,10,,11895958,185220.0,,3417829,2975,,90,1,385
437,88025803,10,,11896012,187128.0,,3417936,103,,15,1,437
455,88007436,10,,12016292,793.0,,3595456,214,Goal Disallowed,16,1,455
458,88007445,10,,12016292,159671.0,,3595457,103,,90,1,458
472,88007266,10,,12018000,186395.0,,3597694,13258,Goal Disallowed,61,1,472
480,88025566,10,,11896038,187128.0,,3417989,103,Goal Confirmed,84,1,480
