,id,country_id,city_id,name,address,zipcode,latitude,longitude,capacity,image_path,city_name,surface,national_team
227,1598,,,SKB-Bank Arena,ul. Festivalnaja 8,,68.95553,33.0462,10000.0,https://cdn.sportmonks.com/images/soccer/venues/30/1598.png,Ekaterinburg,grass,False
228,1609,,,Otkrytiye Arena,"Volokolamskoye shosse, Tushino",,55.817861,37.440250,45360.0,https://cdn.sportmonks.com/images/soccer/venues/9/1609.jpg,Moskva,grass,False
229,2097,,,Akhmat Arena,"Zhukavskogo per. 9, Staraya Sunzha",,43.323176,45.745252,30597.0,https://cdn.sportmonks.com/images/soccer/venues/17/2097.png,Groznyi,grass,False
230,2404,227.0,92125.0,Stadion Arsenal,"pr. Lenina, 87",,54.174167,37.603056,20074.0,https://cdn.sportmonks.com/images/soccer/venues/4/2404.png,Tula,grass,False
231,3790,227.0,4394.0,Central'nyj Stadion Astrakhan'gazprom,ul. Latysheva 3,,55.849551,49.086356,10000.0,https://cdn.sportmonks.com/images/soccer/venues/14/3790.png,Astrakhan',grass,False
232,5399,227.0,44053.0,Stadion Rodina,ul. Chkalova 4a,,55.885300,37.454200,18636.0,https://cdn.sportmonks.com/images/soccer/venues/23/5399.png,Khimki,grass,False
233,8792,227.0,92649.0,Stadion Neftyanik,ul. Komarova 9,,54.8258484,56.06056,15234.0,https://cdn.sportmonks.com/images/soccer/venues/24/8792.png,Ufa,grass,False
234,8869,227.0,43392.0,Ak Bars Arena,Prospekt Husaina Yamasheva 115a,,55.796944,49.098889,45105.0,https://cdn.sportmonks.com/images/soccer/venues/5/8869.jpg,Kazan',grass,False
235,8895,,,Saint Petersburg Stadium,2-g Petrovsky Island,,59.972953,30.220533,24000.0,https://cdn.sportmonks.com/images/soccer/venues/31/8895.jpg,St. Petersburg,grass,False
236,20259,227.0,84433.0,Olimpiyskiy Stadion Fisht,Olimpiyskiy prospekt,,43.402267,39.956111,47659.0,https://cdn.sportmonks.com/images/soccer/venues/3/20259.jpg,Sochi,grass,False
237,73093,,,VEB Arena,3-ya Peschanaya ul.,,55.791389,37.516111,30457.0,,Moskva,grass,False
238,121321,227.0,95756.0,Stadion Zenit,ul. Tarashchantsev,,48.8013069,44.5915237,3500.0,,Volgograd,artificial turf,False
